date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2019-01-01 00:00:00,-4,-10,10.5,5.1,1,26,03:14 AM,01:45 PM,07:42 AM,04:30 PM,-4,-10,-6,-10,30,100,82,2.2,1007,-9,4,84,19,YOW
2019-01-01 01:00:00,-4,-10,10.5,5.1,1,26,03:14 AM,01:45 PM,07:42 AM,04:30 PM,-4,-9,-5,-9,30,100,86,1.1,1006,-7,5,77,17,YOW
2019-01-01 02:00:00,-4,-10,10.5,5.1,1,26,03:14 AM,01:45 PM,07:42 AM,04:30 PM,-5,-9,-5,-9,29,100,91,2.0,1006,-6,6,70,15,YOW
2019-01-01 03:00:00,-4,-10,10.5,5.1,1,26,03:14 AM,01:45 PM,07:42 AM,04:30 PM,-5,-8,-4,-8,29,100,95,2.7,1006,-5,7,63,13,YOW
2019-01-01 04:00:00,-4,-10,10.5,5.1,1,26,03:14 AM,01:45 PM,07:42 AM,04:30 PM,-5,-8,-4,-8,29,100,95,1.3,1005,-5,6,83,13,YOW
2019-01-01 05:00:00,-4,-10,10.5,5.1,1,26,03:14 AM,01:45 PM,07:42 AM,04:30 PM,-5,-9,-4,-9,30,100,95,4.1,1005,-5,5,103,13,YOW
2019-01-01 06:00:00,-4,-10,10.5,5.1,1,26,03:14 AM,01:45 PM,07:42 AM,04:30 PM,-5,-9,-4,-9,30,100,94,5.5,1005,-5,5,123,13,YOW
2019-01-01 07:00:00,-4,-10,10.5,5.1,1,26,03:14 AM,01:45 PM,07:42 AM,04:30 PM,-5,-9,-4,-9,33,100,92,2.7,1005,-4,5,189,15,YOW
2019-01-01 08:00:00,-4,-10,10.5,5.1,1,26,03:14 AM,01:45 PM,07:42 AM,04:30 PM,-5,-9,-3,-9,37,100,89,2.8,1006,-4,5,255,16,YOW
2019-01-01 09:00:00,-4,-10,10.5,5.1,1,26,03:14 AM,01:45 PM,07:42 AM,04:30 PM,-6,-9,-3,-9,41,100,87,3.8,1006,-4,5,321,18,YOW
2019-01-01 10:00:00,-4,-10,10.5,5.1,1,26,03:14 AM,01:45 PM,07:42 AM,04:30 PM,-6,-10,-4,-10,41,96,85,1.9,1008,-4,6,320,19,YOW
2019-01-01 11:00:00,-4,-10,10.5,5.1,1,26,03:14 AM,01:45 PM,07:42 AM,04:30 PM,-7,-10,-4,-10,40,92,83,0.0,1010,-5,8,318,21,YOW
2019-01-01 12:00:00,-4,-10,10.5,5.1,1,26,03:14 AM,01:45 PM,07:42 AM,04:30 PM,-7,-11,-4,-11,40,89,80,0.0,1011,-5,10,316,23,YOW
2019-01-01 13:00:00,-4,-10,10.5,5.1,1,26,03:14 AM,01:45 PM,07:42 AM,04:30 PM,-7,-11,-5,-11,38,76,80,0.0,1012,-5,10,317,22,YOW
2019-01-01 14:00:00,-4,-10,10.5,5.1,1,26,03:14 AM,01:45 PM,07:42 AM,04:30 PM,-7,-11,-5,-11,36,64,80,0.0,1012,-6,10,317,20,YOW
2019-01-01 15:00:00,-4,-10,10.5,5.1,1,26,03:14 AM,01:45 PM,07:42 AM,04:30 PM,-8,-11,-5,-11,33,51,80,0.0,1013,-6,10,317,19,YOW
2019-01-01 16:00:00,-4,-10,10.5,5.1,1,26,03:14 AM,01:45 PM,07:42 AM,04:30 PM,-8,-11,-5,-11,32,39,78,0.0,1014,-6,10,316,20,YOW
2019-01-01 17:00:00,-4,-10,10.5,5.1,1,26,03:14 AM,01:45 PM,07:42 AM,04:30 PM,-9,-12,-6,-12,30,27,76,0.0,1015,-6,10,315,21,YOW
2019-01-01 18:00:00,-4,-10,10.5,5.1,1,26,03:14 AM,01:45 PM,07:42 AM,04:30 PM,-10,-12,-6,-12,28,15,73,0.0,1016,-7,10,314,22,YOW
2019-01-01 19:00:00,-4,-10,10.5,5.1,1,26,03:14 AM,01:45 PM,07:42 AM,04:30 PM,-11,-13,-7,-13,26,17,73,0.0,1017,-8,10,312,20,YOW
2019-01-01 20:00:00,-4,-10,10.5,5.1,1,26,03:14 AM,01:45 PM,07:42 AM,04:30 PM,-13,-13,-8,-13,24,19,73,0.0,1019,-9,10,310,19,YOW
2019-01-01 21:00:00,-4,-10,10.5,5.1,1,26,03:14 AM,01:45 PM,07:42 AM,04:30 PM,-14,-14,-9,-14,22,21,73,0.0,1020,-10,10,309,18,YOW
2019-01-01 22:00:00,-4,-10,10.5,5.1,1,26,03:14 AM,01:45 PM,07:42 AM,04:30 PM,-16,-15,-10,-15,20,35,74,0.0,1022,-11,10,305,16,YOW
2019-01-01 23:00:00,-4,-10,10.5,5.1,1,26,03:14 AM,01:45 PM,07:42 AM,04:30 PM,-18,-16,-11,-16,18,49,74,0.0,1024,-13,10,301,14,YOW
2019-01-02 00:00:00,-14,-21,0.0,8.7,1,19,04:19 AM,02:17 PM,07:42 AM,04:31 PM,-20,-17,-13,-17,16,63,75,0.0,1026,-14,10,296,12,YOW
2019-01-02 01:00:00,-14,-21,0.0,8.7,1,19,04:19 AM,02:17 PM,07:42 AM,04:31 PM,-20,-20,-15,-20,15,66,76,0.0,1026,-16,10,295,11,YOW
2019-01-02 02:00:00,-14,-21,0.0,8.7,1,19,04:19 AM,02:17 PM,07:42 AM,04:31 PM,-21,-23,-17,-23,15,69,78,0.0,1027,-18,10,293,10,YOW
2019-01-02 03:00:00,-14,-21,0.0,8.7,1,19,04:19 AM,02:17 PM,07:42 AM,04:31 PM,-22,-27,-19,-27,14,71,79,0.0,1027,-20,10,291,9,YOW
2019-01-02 04:00:00,-14,-21,0.0,8.7,1,19,04:19 AM,02:17 PM,07:42 AM,04:31 PM,-22,-27,-19,-27,14,61,79,0.0,1028,-20,10,289,9,YOW
2019-01-02 05:00:00,-14,-21,0.0,8.7,1,19,04:19 AM,02:17 PM,07:42 AM,04:31 PM,-23,-27,-20,-27,13,50,79,0.0,1028,-20,10,287,8,YOW
2019-01-02 06:00:00,-14,-21,0.0,8.7,1,19,04:19 AM,02:17 PM,07:42 AM,04:31 PM,-23,-27,-20,-27,12,40,79,0.0,1029,-21,10,285,7,YOW
2019-01-02 07:00:00,-14,-21,0.0,8.7,1,19,04:19 AM,02:17 PM,07:42 AM,04:31 PM,-23,-26,-20,-26,11,26,78,0.0,1030,-20,10,284,6,YOW
2019-01-02 08:00:00,-14,-21,0.0,8.7,1,19,04:19 AM,02:17 PM,07:42 AM,04:31 PM,-23,-26,-19,-26,9,13,77,0.0,1030,-20,10,282,5,YOW
2019-01-02 09:00:00,-14,-21,0.0,8.7,1,19,04:19 AM,02:17 PM,07:42 AM,04:31 PM,-22,-25,-19,-25,8,0,76,0.0,1031,-20,10,281,4,YOW
2019-01-02 10:00:00,-14,-21,0.0,8.7,1,19,04:19 AM,02:17 PM,07:42 AM,04:31 PM,-22,-23,-18,-23,7,0,74,0.0,1031,-19,10,275,4,YOW
