Tot Daily Flt,sdt,sat,departureoveralldelaytime,IROP,date_time,Sched departure,Sched arrival,Dep snowcm,Dep DewPointC,Dep cloudcover,Dep humidity,Dep precipMM,Dep pressure,Dep tempC,Dep visibility,Dep Snow,Dep Rain,Dep Fog,Dep Moderate,Dep FZ Rain,Dep Heavy,Dep TS,Dep Haze,Dep Drizzle,Dep Ice,Temp Dew Spread,Dep Wx,Dep Wy,Dep Gust Wx,Dep Gust Wy,Arr snowcm,Arr DewPointC,Arr cloudcover,Arr humidity,Arr precipMM,Arr pressure,Arr tempC,Arr visibility,Arr Snow,Arr Rain,Arr Fog,Arr Moderate,Arr FZ Rain,Arr Heavy,Arr TS,Arr Haze,Arr Temp Dew Spread,Arr Wx,Arr Wy,Arr Gust Wx,Arr Gust Wy
66,1/1/19 10:30,1/1/19 11:29,29,1,2019-01-01 10:00:00,2019-01-01 10:30:00,2019-01-01 11:29:00,0.0,-2,60,82,0.0,1009,0,10,0,0,0,0,0,0,0,0,0,0,2,3.0623959027870917,-1.9135973430643543,7.773774214767232,-4.857593255471053,10.5,-6,96,85,1.9,1008,-4,6,0,0,0,0,0,0,0,0,2,4.043012338683495,-3.3924901622345143,8.724395046632804,-7.320636665874479
66,1/1/19 11:30,1/1/19 12:29,15,1,2019-01-01 11:00:00,2019-01-01 11:30:00,2019-01-01 12:29:00,0.0,-2,60,81,0.0,1012,0,10,0,0,0,0,0,0,0,0,0,0,2,3.571530419592134,-2.1459919787918937,7.381162867157077,-4.435050089503247,10.5,-7,92,83,0.0,1010,-5,8,0,0,0,0,0,0,0,0,2,4.335011481951466,-3.903261870426672,8.257164727526602,-7.434784515098423
66,1/1/19 12:50,1/1/19 13:49,25,1,2019-01-01 12:00:00,2019-01-01 12:50:00,2019-01-01 13:49:00,0.0,-2,60,80,0.0,1014,0,10,0,0,0,0,0,0,0,0,0,0,2,4.089564406759848,-2.3611111111111134,7.21687836487032,-4.1666666666666705,10.5,-7,89,80,0.0,1011,-5,10,0,0,0,0,0,0,0,0,2,4.595782057719158,-4.438095144599152,7.992664448207232,-7.718426338433306
66,1/1/19 13:55,1/1/19 14:54,3,0,2019-01-01 13:00:00,2019-01-01 13:55:00,2019-01-01 14:54:00,0.0,-4,46,76,0.0,1016,-1,10,0,0,0,0,0,0,0,0,0,0,3,4.373098535696979,-2.4240481012316843,7.045547640845133,-3.905410829762158,10.5,-7,76,80,0.0,1012,-5,10,0,0,0,0,0,0,0,0,2,4.469383732117154,-4.167767755937489,7.719844628202357,-7.1988715784374815
66,1/1/19 14:30,1/1/19 15:29,19,1,2019-01-01 14:00:00,2019-01-01 14:30:00,2019-01-01 15:29:00,0.0,-5,33,73,0.0,1017,-1,10,0,0,0,0,0,0,0,0,0,0,4,4.660001184533225,-2.477766581369979,6.867370166680543,-3.6514454883347063,10.5,-7,64,80,0.0,1012,-6,10,0,0,0,0,0,0,0,0,1,4.063076120106504,-3.7888797781249903,7.313537016191707,-6.819983600624982
66,1/1/19 17:35,1/1/19 18:34,30,1,2019-01-01 17:00:00,2019-01-01 17:35:00,2019-01-01 18:34:00,0.0,-8,13,68,0.0,1022,-4,10,0,0,0,0,0,0,0,0,0,0,4,4.698463103929543,-1.7101007166283426,6.5256431999021425,-2.375139884206032,10.5,-9,27,76,0.0,1015,-6,10,0,0,0,0,0,0,0,0,3,4.1247895569215265,-4.124789556921528,5.892556509887896,-5.892556509887898
66,1/1/19 18:55,1/1/19 19:54,4,0,2019-01-01 18:00:00,2019-01-01 18:55:00,2019-01-01 19:54:00,0.0,-9,11,67,0.0,1023,-5,10,0,0,0,0,0,0,0,0,0,0,4,4.806308479691594,-1.3781867790849989,6.408411306255458,-1.837582372113332,10.5,-10,15,73,0.0,1016,-7,10,0,0,0,0,0,0,0,0,3,4.245134486138312,-4.395965446513983,5.402898436903307,-5.594865113745069
66,1/1/19 20:29,1/1/19 21:28,49,2,2019-01-01 20:00:00,2019-01-01 20:29:00,2019-01-01 21:28:00,0.0,-11,14,65,0.0,1025,-6,10,0,0,0,0,0,0,0,0,0,0,5,4.3769233467209245,-0.7717696785196946,5.471154183401155,-0.9647120981496181,10.5,-13,19,73,0.0,1019,-9,10,0,0,0,0,0,0,0,0,4,3.3924901622345125,-4.0430123386834955,4.285250731243595,-5.106962954126521
74,1/10/19 11:35,1/10/19 12:34,7,1,2019-01-10 11:00:00,2019-01-10 11:35:00,2019-01-10 12:34:00,0.0,-10,66,68,0.0,1023,-6,10,0,0,0,0,0,0,0,0,0,0,4,6.448070008761433,-4.349278138105813,8.06008751095179,-5.436597672632265,0.0,-14,100,72,0.0,1011,-11,2,1,0,0,0,0,0,0,0,3,6.476216345474755,-5.244336592081982,9.282576761847148,-7.516882448650841
74,1/10/19 13:45,1/10/19 14:44,0,0,2019-01-10 13:00:00,2019-01-10 13:45:00,2019-01-10 14:44:00,0.0,-10,70,67,0.0,1024,-5,10,0,0,0,0,0,0,0,0,0,0,5,6.067627457812105,-4.408389392193549,7.415989115103684,-5.388031479347671,0.0,-15,100,73,0.0,1012,-12,6,1,0,0,0,0,0,0,0,3,6.079604951794551,-5.284919955756865,8.595303552537125,-7.471783385725224
